title,director,year,runtime,genres,strands,description,synopsis,languages,session_date,session_venue,session_time,film_url
Redux Redux,Kevin McManus,2025,107 mins,Thriller,Night Shift,"Two broken women join forces for a bloody journey through the multiverse, seeking revenge and redemption.","After Irene’s daughter is kidnapped and murdered, there is no force in the universe that can stop her vengeance. When she finds the man responsible, she kills him – then jumps to a parallel universe, where she finds him and kills him again. But when her dimension-hopping vendetta accidentally saves a different teen, Mia, from the man’s clutches, Irene begins to find a new purpose in her soul-sapping multiversal journey – and, perhaps, a means of rediscovering her humanity.",English,14 Aug,Kino 1,8:45pm,https://miff.com.au/program/film/redux-redux
Redux Redux,Kevin McManus,2025,107 mins,Thriller,Night Shift,"Two broken women join forces for a bloody journey through the multiverse, seeking revenge and redemption.","After Irene’s daughter is kidnapped and murdered, there is no force in the universe that can stop her vengeance. When she finds the man responsible, she kills him – then jumps to a parallel universe, where she finds him and kills him again. But when her dimension-hopping vendetta accidentally saves a different teen, Mia, from the man’s clutches, Irene begins to find a new purpose in her soul-sapping multiversal journey – and, perhaps, a means of rediscovering her humanity.",English,22 Aug,Hoyts 3,6:00pm,https://miff.com.au/program/film/redux-redux
An Urban Allegory,Alice Rohrwacher,2024,21 mins,"Drama, Fantasy",,"The question famously posited by Plato inRepublicis explored here by filmmaker Alice Rohrwacher (La Chimera, MIFF 2023) and multimedia artist JR (Faces Places, co-directed with Agnès Varda, MIFF 2017) amid the kinetic rush of a modern city. Visually stunning, brimming with trademark imagination and featuring a cameo from legendary French auteur Leos Carax (Annette, MIFF 2021),An Urban Allegoryis a beautifully succinct tale of seeing the world – and ourselves – in a different light.","For information about the accessible services being offered at MIFF, please visitmiff.com.au/access.
                            If you require any access service, such as wheelchair/step-free access, for any MIFF
                            session, please
                            call 03 8660 4888 or emailboxoffice@miff.com.auto book your ticket.",French,13 Aug,ACMI 1,10:30am,https://miff.com.au/program/film/an-urban-allegory
An Urban Allegory,Alice Rohrwacher,2024,21 mins,"Drama, Fantasy",,"The question famously posited by Plato inRepublicis explored here by filmmaker Alice Rohrwacher (La Chimera, MIFF 2023) and multimedia artist JR (Faces Places, co-directed with Agnès Varda, MIFF 2017) amid the kinetic rush of a modern city. Visually stunning, brimming with trademark imagination and featuring a cameo from legendary French auteur Leos Carax (Annette, MIFF 2021),An Urban Allegoryis a beautifully succinct tale of seeing the world – and ourselves – in a different light.","For information about the accessible services being offered at MIFF, please visitmiff.com.au/access.
                            If you require any access service, such as wheelchair/step-free access, for any MIFF
                            session, please
                            call 03 8660 4888 or emailboxoffice@miff.com.auto book your ticket.",French,19 Aug,ACMI 1,1:00pm,https://miff.com.au/program/film/an-urban-allegory
An Urban Allegory,Alice Rohrwacher,2024,21 mins,"Drama, Fantasy",,"The question famously posited by Plato inRepublicis explored here by filmmaker Alice Rohrwacher (La Chimera, MIFF 2023) and multimedia artist JR (Faces Places, co-directed with Agnès Varda, MIFF 2017) amid the kinetic rush of a modern city. Visually stunning, brimming with trademark imagination and featuring a cameo from legendary French auteur Leos Carax (Annette, MIFF 2021),An Urban Allegoryis a beautifully succinct tale of seeing the world – and ourselves – in a different light.","For information about the accessible services being offered at MIFF, please visitmiff.com.au/access.
                            If you require any access service, such as wheelchair/step-free access, for any MIFF
                            session, please
                            call 03 8660 4888 or emailboxoffice@miff.com.auto book your ticket.",French,23 Aug,Hoyts 8/10,1:15pm,https://miff.com.au/program/film/an-urban-allegory
D'est,Chantal Akerman,1993,110 mins,Experimental,Chantal Akerman: Traces,"An impressionistic visual survey of a fraying Eastern Europe, Akerman’s documentary traverses time and borders.","Three years after the fall of the Berlin Wall, Akerman returned to Eastern Europe to film the people and the landscape that had, according to her editor Claire Atherton, “touched her”. Shooting on 16mm over several seasons without a final plan for what would become one of her most influential experimental documentaries, she filmed bleak winter landscapes, bustling streets, drab but welcoming apartments, and the faces of many people as they went about their days and nights, often caught in the act of waiting. Presented without narration, and taking in both urban and rural Germany, Poland, Lithuania, Ukraine and Russia, Akerman’s film allows a scene of post-Soviet-era uncertainty and upheaval to emerge.",No Dialogue,16 Aug,Kino 2,1:15pm,https://miff.com.au/program/film/dest
The President's Cake,Hasan Hadi,2025,103 mins,Drama,Africa & Middle East,A young girl is tasked with baking a cake to celebrate Saddam Hussein’s birthday in this playful fable that won two awards at Cannes including the Caméra d’Or.,"In 1990, nine-year-old Lamia lives with her grandmother Bibi and her beloved cockerel Hindi in Iraq’s Mesopotamian marshes. Harsh international sanctions have sent basic living costs skyrocketing; but even though his people are hungry, Iraqi president Saddam Hussein still demands that the nation celebrate his birthday, replete with a lavish cake. Assigned to bake such a cake for her local school – with severe consequences on offer if she fails – Lamia teams up with her pal Saeed to undertake an odyssey of procuring flour, eggs and sugar in a place where they’re in desperately short supply.",Arabic,15 Aug,The Capitol,3:30pm,https://miff.com.au/program/film/the-presidents-cake
The President's Cake,Hasan Hadi,2025,103 mins,Drama,Africa & Middle East,A young girl is tasked with baking a cake to celebrate Saddam Hussein’s birthday in this playful fable that won two awards at Cannes including the Caméra d’Or.,"In 1990, nine-year-old Lamia lives with her grandmother Bibi and her beloved cockerel Hindi in Iraq’s Mesopotamian marshes. Harsh international sanctions have sent basic living costs skyrocketing; but even though his people are hungry, Iraqi president Saddam Hussein still demands that the nation celebrate his birthday, replete with a lavish cake. Assigned to bake such a cake for her local school – with severe consequences on offer if she fails – Lamia teams up with her pal Saeed to undertake an odyssey of procuring flour, eggs and sugar in a place where they’re in desperately short supply.",Arabic,21 Aug,Forum,1:15pm,https://miff.com.au/program/film/the-presidents-cake
The President's Cake,Hasan Hadi,2025,103 mins,Drama,Africa & Middle East,A young girl is tasked with baking a cake to celebrate Saddam Hussein’s birthday in this playful fable that won two awards at Cannes including the Caméra d’Or.,"In 1990, nine-year-old Lamia lives with her grandmother Bibi and her beloved cockerel Hindi in Iraq’s Mesopotamian marshes. Harsh international sanctions have sent basic living costs skyrocketing; but even though his people are hungry, Iraqi president Saddam Hussein still demands that the nation celebrate his birthday, replete with a lavish cake. Assigned to bake such a cake for her local school – with severe consequences on offer if she fails – Lamia teams up with her pal Saeed to undertake an odyssey of procuring flour, eggs and sugar in a place where they’re in desperately short supply.",Arabic,23 Aug,Forum,4:15pm,https://miff.com.au/program/film/the-presidents-cake
Iron Winter,Kasimir Burgess,2025,90 mins,Documentary,"Australian, Documentaries","Seeking to keep a centuries-old tradition alive, two friends battle extreme conditions as they herd 2000 horses through the icy Mongolian steppes.","Over the generations, as winter approaches and snow descends on Tsakhir Valley in Mongolia, herders have led thousands of horses on long treks across the frozen steppes to find fresh pastures to graze in. For young Batbold and his older and more experienced companion Tsagaana, this is both a job and an opportunity to reconnect with the traditions of their nomadic ancestors, including assembling yurts, cooking meals and competing in age-old horseback sporting contests. But during their four-month journey through severe landscapes and temperatures that reach minus 50 degrees Celsius, they and the horses they’ve sworn to protect will face the twin dangers of hypothermia and wolf attacks. The gruelling expedition promises to be a transformative experience for Batbold – but with the comforts of the city serving as an ever-present lure, it may also be his last.",Mongolian,9 Aug,ACMI 1,1:15pm,https://miff.com.au/program/film/iron-winter
Iron Winter,Kasimir Burgess,2025,90 mins,Documentary,"Australian, Documentaries","Seeking to keep a centuries-old tradition alive, two friends battle extreme conditions as they herd 2000 horses through the icy Mongolian steppes.","Over the generations, as winter approaches and snow descends on Tsakhir Valley in Mongolia, herders have led thousands of horses on long treks across the frozen steppes to find fresh pastures to graze in. For young Batbold and his older and more experienced companion Tsagaana, this is both a job and an opportunity to reconnect with the traditions of their nomadic ancestors, including assembling yurts, cooking meals and competing in age-old horseback sporting contests. But during their four-month journey through severe landscapes and temperatures that reach minus 50 degrees Celsius, they and the horses they’ve sworn to protect will face the twin dangers of hypothermia and wolf attacks. The gruelling expedition promises to be a transformative experience for Batbold – but with the comforts of the city serving as an ever-present lure, it may also be his last.",Mongolian,11 Aug,Kino 1,6:15pm,https://miff.com.au/program/film/iron-winter
Iron Winter,Kasimir Burgess,2025,90 mins,Documentary,"Australian, Documentaries","Seeking to keep a centuries-old tradition alive, two friends battle extreme conditions as they herd 2000 horses through the icy Mongolian steppes.","Over the generations, as winter approaches and snow descends on Tsakhir Valley in Mongolia, herders have led thousands of horses on long treks across the frozen steppes to find fresh pastures to graze in. For young Batbold and his older and more experienced companion Tsagaana, this is both a job and an opportunity to reconnect with the traditions of their nomadic ancestors, including assembling yurts, cooking meals and competing in age-old horseback sporting contests. But during their four-month journey through severe landscapes and temperatures that reach minus 50 degrees Celsius, they and the horses they’ve sworn to protect will face the twin dangers of hypothermia and wolf attacks. The gruelling expedition promises to be a transformative experience for Batbold – but with the comforts of the city serving as an ever-present lure, it may also be his last.",Mongolian,16 Aug,Star Cinema Bendigo,1:00pm,https://miff.com.au/program/film/iron-winter
Iron Winter,Kasimir Burgess,2025,90 mins,Documentary,"Australian, Documentaries","Seeking to keep a centuries-old tradition alive, two friends battle extreme conditions as they herd 2000 horses through the icy Mongolian steppes.","Over the generations, as winter approaches and snow descends on Tsakhir Valley in Mongolia, herders have led thousands of horses on long treks across the frozen steppes to find fresh pastures to graze in. For young Batbold and his older and more experienced companion Tsagaana, this is both a job and an opportunity to reconnect with the traditions of their nomadic ancestors, including assembling yurts, cooking meals and competing in age-old horseback sporting contests. But during their four-month journey through severe landscapes and temperatures that reach minus 50 degrees Celsius, they and the horses they’ve sworn to protect will face the twin dangers of hypothermia and wolf attacks. The gruelling expedition promises to be a transformative experience for Batbold – but with the comforts of the city serving as an ever-present lure, it may also be his last.",Mongolian,16 Aug,Theatre Royal Castlemaine,2:00pm,https://miff.com.au/program/film/iron-winter
Iron Winter,Kasimir Burgess,2025,90 mins,Documentary,"Australian, Documentaries","Seeking to keep a centuries-old tradition alive, two friends battle extreme conditions as they herd 2000 horses through the icy Mongolian steppes.","Over the generations, as winter approaches and snow descends on Tsakhir Valley in Mongolia, herders have led thousands of horses on long treks across the frozen steppes to find fresh pastures to graze in. For young Batbold and his older and more experienced companion Tsagaana, this is both a job and an opportunity to reconnect with the traditions of their nomadic ancestors, including assembling yurts, cooking meals and competing in age-old horseback sporting contests. But during their four-month journey through severe landscapes and temperatures that reach minus 50 degrees Celsius, they and the horses they’ve sworn to protect will face the twin dangers of hypothermia and wolf attacks. The gruelling expedition promises to be a transformative experience for Batbold – but with the comforts of the city serving as an ever-present lure, it may also be his last.",Mongolian,23 Aug,IMAX Melbourne,4:00pm,https://miff.com.au/program/film/iron-winter
Iron Winter,Kasimir Burgess,2025,90 mins,Documentary,"Australian, Documentaries","Seeking to keep a centuries-old tradition alive, two friends battle extreme conditions as they herd 2000 horses through the icy Mongolian steppes.","Over the generations, as winter approaches and snow descends on Tsakhir Valley in Mongolia, herders have led thousands of horses on long treks across the frozen steppes to find fresh pastures to graze in. For young Batbold and his older and more experienced companion Tsagaana, this is both a job and an opportunity to reconnect with the traditions of their nomadic ancestors, including assembling yurts, cooking meals and competing in age-old horseback sporting contests. But during their four-month journey through severe landscapes and temperatures that reach minus 50 degrees Celsius, they and the horses they’ve sworn to protect will face the twin dangers of hypothermia and wolf attacks. The gruelling expedition promises to be a transformative experience for Batbold – but with the comforts of the city serving as an ever-present lure, it may also be his last.",Mongolian,23 Aug,The Pivotonian Cinema Geelong,6:45pm,https://miff.com.au/program/film/iron-winter
Iron Winter,Kasimir Burgess,2025,90 mins,Documentary,"Australian, Documentaries","Seeking to keep a centuries-old tradition alive, two friends battle extreme conditions as they herd 2000 horses through the icy Mongolian steppes.","Over the generations, as winter approaches and snow descends on Tsakhir Valley in Mongolia, herders have led thousands of horses on long treks across the frozen steppes to find fresh pastures to graze in. For young Batbold and his older and more experienced companion Tsagaana, this is both a job and an opportunity to reconnect with the traditions of their nomadic ancestors, including assembling yurts, cooking meals and competing in age-old horseback sporting contests. But during their four-month journey through severe landscapes and temperatures that reach minus 50 degrees Celsius, they and the horses they’ve sworn to protect will face the twin dangers of hypothermia and wolf attacks. The gruelling expedition promises to be a transformative experience for Batbold – but with the comforts of the city serving as an ever-present lure, it may also be his last.",Mongolian,24 Aug,Peninsula Cinemas Rosebud,3:00pm,https://miff.com.au/program/film/iron-winter
The Body,Louris van de Geer,2024,12 mins,Drama,,"Jane spends her days playing a corpse on true-crime TV. At night, she tries to wash it all off, but the feelings start to stick.","Exploring our cultural obsession with images of dead women in true crime, the debut film by theatre director Louris van de Geer is a satirical and absurdist portrait of a woman who finds herself experiencing the trauma of the victims she inhabits on screen.",English,13 Aug,ACMI 1,3:30pm,https://miff.com.au/program/film/the-body
The Body,Louris van de Geer,2024,12 mins,Drama,,"Jane spends her days playing a corpse on true-crime TV. At night, she tries to wash it all off, but the feelings start to stick.","Exploring our cultural obsession with images of dead women in true crime, the debut film by theatre director Louris van de Geer is a satirical and absurdist portrait of a woman who finds herself experiencing the trauma of the victims she inhabits on screen.",English,23 Aug,ACMI 1,10:30am,https://miff.com.au/program/film/the-body
Orwell: 2+2 = 5,Raoul Peck,2025,119 mins,Documentary,Documentaries,War is peace. Freedom is slavery. Ignorance is strength. 1984 is 2025.,"In the late 1940s, on the Scottish island of Jura and in the grip of tuberculosis, George Orwell feverishly penned what would become his last – and most lasting – novel:Nineteen Eighty-Four.Despite the book’s obvious real-world catalysts, there is no way that Orwell could have known, as he wrote his fictional clarion call against totalitarianism, quite how eerily prescient his words would become. “To begin with,” he wrote, protagonist Winston Smith “did not know with any certainty that this was 1984”.",English,15 Aug,Forum,1:00pm,https://miff.com.au/program/film/orwell-22-5
Orwell: 2+2 = 5,Raoul Peck,2025,119 mins,Documentary,Documentaries,War is peace. Freedom is slavery. Ignorance is strength. 1984 is 2025.,"In the late 1940s, on the Scottish island of Jura and in the grip of tuberculosis, George Orwell feverishly penned what would become his last – and most lasting – novel:Nineteen Eighty-Four.Despite the book’s obvious real-world catalysts, there is no way that Orwell could have known, as he wrote his fictional clarion call against totalitarianism, quite how eerily prescient his words would become. “To begin with,” he wrote, protagonist Winston Smith “did not know with any certainty that this was 1984”.",English,20 Aug,Cinema Nova 1,11:00am,https://miff.com.au/program/film/orwell-22-5
Orwell: 2+2 = 5,Raoul Peck,2025,119 mins,Documentary,Documentaries,War is peace. Freedom is slavery. Ignorance is strength. 1984 is 2025.,"In the late 1940s, on the Scottish island of Jura and in the grip of tuberculosis, George Orwell feverishly penned what would become his last – and most lasting – novel:Nineteen Eighty-Four.Despite the book’s obvious real-world catalysts, there is no way that Orwell could have known, as he wrote his fictional clarion call against totalitarianism, quite how eerily prescient his words would become. “To begin with,” he wrote, protagonist Winston Smith “did not know with any certainty that this was 1984”.",English,23 Aug,ACMI 1,6:15pm,https://miff.com.au/program/film/orwell-22-5
Sham,Takashi Miike,2025,130 mins,"Drama, Thriller",Asia Pacific,"It’s a case of perception vs reality in this twisty, slippery courtroom drama from prolific genre-loving cult hero Takashi Miike.","It’s 2003, and Seichii is caught in the middle of a scandal. A primary school teacher in Fukuoka, he’s been accused by Ritsuko (Kō Shibasaki, reuniting with the director two decades afterOne Missed Call, MIFF 2004) of a systematic campaign of racially motivated abuse and bullying against her son, who has just attempted suicide. It’s the kind of horror story that sends the media into a frenzy and facilitates presumptions of guilt; but as the eventual court case proceeds, it becomes increasingly difficult to determine which details are actually true.",Japanese,22 Aug,Kino 1,9:45pm,https://miff.com.au/program/film/sham
Sham,Takashi Miike,2025,130 mins,"Drama, Thriller",Asia Pacific,"It’s a case of perception vs reality in this twisty, slippery courtroom drama from prolific genre-loving cult hero Takashi Miike.","It’s 2003, and Seichii is caught in the middle of a scandal. A primary school teacher in Fukuoka, he’s been accused by Ritsuko (Kō Shibasaki, reuniting with the director two decades afterOne Missed Call, MIFF 2004) of a systematic campaign of racially motivated abuse and bullying against her son, who has just attempted suicide. It’s the kind of horror story that sends the media into a frenzy and facilitates presumptions of guilt; but as the eventual court case proceeds, it becomes increasingly difficult to determine which details are actually true.",Japanese,24 Aug,Hoyts 3,9:00pm,https://miff.com.au/program/film/sham
International Shorts 1,,,,"Drama, Comedy, Fantasy, Sci-Fi, Music",MIFF Shorts,Ambitious ideas. New sensations. The world’s finest short-form cinema.,"From clandestine romance to cursed crocodiles and a cosmic coming of age, a selection of the striking and the strange from cinema’s most imaginative short-form auteurs.",,8 Aug,ACMI 2,6:30pm,https://miff.com.au/program/film/international-shorts-1
International Shorts 1,,,,"Drama, Comedy, Fantasy, Sci-Fi, Music",MIFF Shorts,Ambitious ideas. New sensations. The world’s finest short-form cinema.,"From clandestine romance to cursed crocodiles and a cosmic coming of age, a selection of the striking and the strange from cinema’s most imaginative short-form auteurs.",,18 Aug,Kino 1,9:15pm,https://miff.com.au/program/film/international-shorts-1
Saute ma ville,Chantal Akerman,1968,13 mins,"Drama, Experimental",Chantal Akerman: Traces,Akerman’s comedic and incendiary first completed short film – whose title loosely translates as “blow up my town” – explodes feminine conventions.,"Having left the film school INSAS after just three months, Chantal Akerman wrote, directed and starred inSaute ma villewhen she was 18 years old. Shooting on 16mm, she portrays a young woman who returns to a small flat seemingly to clean and make dinner but whose actions become increasingly manic, profoundly disrupting the domestic scene. Made with materials from the school, Akerman’s 1968 short languished in the film laboratory for two years until she was able to pay for its release with a screening fee from the Flemish TV channel VRT (then curated by Eric de Kuyper, who many years later co-wrote the director’sLa CaptiveandDemain on déménage).",French,10 Aug,Kino 1,6:45pm,https://miff.com.au/program/film/saute-ma-ville
The Ballad of Wallis Island,James Griffiths,2025,99 mins,"Drama, Comedy",Europe & UK,"For information about the accessible services being offered at MIFF, please visitmiff.com.au/access.
                            If you require any access service, such as wheelchair/step-free access, for any MIFF
                            session, please
                            call 03 8660 4888 or emailboxoffice@miff.com.auto book your ticket.","In this SXSW Audience Award winner, a dental mishap plays cupid for a washed-up comedian and a disillusioned dentist on a life-changing Christmas Eve.",English,14 Aug,Hoyts 11,6:30pm,https://miff.com.au/program/film/the-ballad-of-wallis-island
The Ballad of Wallis Island,James Griffiths,2025,99 mins,"Drama, Comedy",Europe & UK,"For information about the accessible services being offered at MIFF, please visitmiff.com.au/access.
                            If you require any access service, such as wheelchair/step-free access, for any MIFF
                            session, please
                            call 03 8660 4888 or emailboxoffice@miff.com.auto book your ticket.","In this SXSW Audience Award winner, a dental mishap plays cupid for a washed-up comedian and a disillusioned dentist on a life-changing Christmas Eve.",English,16 Aug,Showbiz Cinema Ballarat,12:00pm,https://miff.com.au/program/film/the-ballad-of-wallis-island
The Ballad of Wallis Island,James Griffiths,2025,99 mins,"Drama, Comedy",Europe & UK,"For information about the accessible services being offered at MIFF, please visitmiff.com.au/access.
                            If you require any access service, such as wheelchair/step-free access, for any MIFF
                            session, please
                            call 03 8660 4888 or emailboxoffice@miff.com.auto book your ticket.","In this SXSW Audience Award winner, a dental mishap plays cupid for a washed-up comedian and a disillusioned dentist on a life-changing Christmas Eve.",English,16 Aug,Sale Cinema,6:30pm,https://miff.com.au/program/film/the-ballad-of-wallis-island
The Ballad of Wallis Island,James Griffiths,2025,99 mins,"Drama, Comedy",Europe & UK,"For information about the accessible services being offered at MIFF, please visitmiff.com.au/access.
                            If you require any access service, such as wheelchair/step-free access, for any MIFF
                            session, please
                            call 03 8660 4888 or emailboxoffice@miff.com.auto book your ticket.","In this SXSW Audience Award winner, a dental mishap plays cupid for a washed-up comedian and a disillusioned dentist on a life-changing Christmas Eve.",English,16 Aug,Village Cinemas Shepparton,6:45pm,https://miff.com.au/program/film/the-ballad-of-wallis-island
The Ballad of Wallis Island,James Griffiths,2025,99 mins,"Drama, Comedy",Europe & UK,"For information about the accessible services being offered at MIFF, please visitmiff.com.au/access.
                            If you require any access service, such as wheelchair/step-free access, for any MIFF
                            session, please
                            call 03 8660 4888 or emailboxoffice@miff.com.auto book your ticket.","In this SXSW Audience Award winner, a dental mishap plays cupid for a washed-up comedian and a disillusioned dentist on a life-changing Christmas Eve.",English,17 Aug,Forum,10:30am,https://miff.com.au/program/film/the-ballad-of-wallis-island
The Ballad of Wallis Island,James Griffiths,2025,99 mins,"Drama, Comedy",Europe & UK,"For information about the accessible services being offered at MIFF, please visitmiff.com.au/access.
                            If you require any access service, such as wheelchair/step-free access, for any MIFF
                            session, please
                            call 03 8660 4888 or emailboxoffice@miff.com.auto book your ticket.","In this SXSW Audience Award winner, a dental mishap plays cupid for a washed-up comedian and a disillusioned dentist on a life-changing Christmas Eve.",English,17 Aug,Theatre Royal Castlemaine,4:30pm,https://miff.com.au/program/film/the-ballad-of-wallis-island
The Ballad of Wallis Island,James Griffiths,2025,99 mins,"Drama, Comedy",Europe & UK,"For information about the accessible services being offered at MIFF, please visitmiff.com.au/access.
                            If you require any access service, such as wheelchair/step-free access, for any MIFF
                            session, please
                            call 03 8660 4888 or emailboxoffice@miff.com.auto book your ticket.","In this SXSW Audience Award winner, a dental mishap plays cupid for a washed-up comedian and a disillusioned dentist on a life-changing Christmas Eve.",English,22 Aug,The Pivotonian Cinema Geelong,6:45pm,https://miff.com.au/program/film/the-ballad-of-wallis-island
The Ballad of Wallis Island,James Griffiths,2025,99 mins,"Drama, Comedy",Europe & UK,"For information about the accessible services being offered at MIFF, please visitmiff.com.au/access.
                            If you require any access service, such as wheelchair/step-free access, for any MIFF
                            session, please
                            call 03 8660 4888 or emailboxoffice@miff.com.auto book your ticket.","In this SXSW Audience Award winner, a dental mishap plays cupid for a washed-up comedian and a disillusioned dentist on a life-changing Christmas Eve.",English,23 Aug,Star Cinema Bendigo,4:00pm,https://miff.com.au/program/film/the-ballad-of-wallis-island
The Ballad of Wallis Island,James Griffiths,2025,99 mins,"Drama, Comedy",Europe & UK,"For information about the accessible services being offered at MIFF, please visitmiff.com.au/access.
                            If you require any access service, such as wheelchair/step-free access, for any MIFF
                            session, please
                            call 03 8660 4888 or emailboxoffice@miff.com.auto book your ticket.","In this SXSW Audience Award winner, a dental mishap plays cupid for a washed-up comedian and a disillusioned dentist on a life-changing Christmas Eve.",English,24 Aug,The Astor Theatre,1:00pm,https://miff.com.au/program/film/the-ballad-of-wallis-island
The Ballad of Wallis Island,James Griffiths,2025,99 mins,"Drama, Comedy",Europe & UK,"For information about the accessible services being offered at MIFF, please visitmiff.com.au/access.
                            If you require any access service, such as wheelchair/step-free access, for any MIFF
                            session, please
                            call 03 8660 4888 or emailboxoffice@miff.com.auto book your ticket.","In this SXSW Audience Award winner, a dental mishap plays cupid for a washed-up comedian and a disillusioned dentist on a life-changing Christmas Eve.",English,24 Aug,Village Cinemas Geelong,1:00pm,https://miff.com.au/program/film/the-ballad-of-wallis-island
The Ballad of Wallis Island,James Griffiths,2025,99 mins,"Drama, Comedy",Europe & UK,"For information about the accessible services being offered at MIFF, please visitmiff.com.au/access.
                            If you require any access service, such as wheelchair/step-free access, for any MIFF
                            session, please
                            call 03 8660 4888 or emailboxoffice@miff.com.auto book your ticket.","In this SXSW Audience Award winner, a dental mishap plays cupid for a washed-up comedian and a disillusioned dentist on a life-changing Christmas Eve.",English,24 Aug,Peninsula Cinemas Rosebud,1:00pm,https://miff.com.au/program/film/the-ballad-of-wallis-island
Space Cadet,Eric San,2025,86 mins,Animation,"Animation, Family Films","Veteran DJ Kid Koala takes to the screen with this animated tale of a robot and an astronaut who long to be reunited – a wordless, timeless shrine to longing, loss and the power of music.","From when she was a small child, Celeste has harboured a lifelong dream to be an astronaut. By her side through the years has been her faithful robot, serving as teacher, companion and friend. When the now-grown Celeste departs on an interstellar space mission, the pair miss each other dearly – and Celeste’s robot, left behind on Earth, has to figure out what to do with his life. Canadian music producer and turntablist Eric San – best known, via his nom de plume Kid Koala, as a member of Deltron 3030, collaborator with Gorillaz and contributor to the soundtracks of films such asScott Pilgrim Vs. the World(MIFF 2010) – makes his directorial debut with a feature-length adaptation of his own 2011 graphic novel. Reminiscent of beloved charmerRobot Dreams(MIFF 2023) and Pixar classicWALL•E, Space Cadetis a dialogue-free tale filled with emotion, evoking the passage of time and the changing of generations. Featuring vocal performances from Karen O, Emilíana Torrini and Martha Wainwright, San’s vibrant score enhances a universally relatable story about yearning across the cosmos.",English,10 Aug,ACMI 1,11:30am,https://miff.com.au/program/film/space-cadet
Space Cadet,Eric San,2025,86 mins,Animation,"Animation, Family Films","Veteran DJ Kid Koala takes to the screen with this animated tale of a robot and an astronaut who long to be reunited – a wordless, timeless shrine to longing, loss and the power of music.","From when she was a small child, Celeste has harboured a lifelong dream to be an astronaut. By her side through the years has been her faithful robot, serving as teacher, companion and friend. When the now-grown Celeste departs on an interstellar space mission, the pair miss each other dearly – and Celeste’s robot, left behind on Earth, has to figure out what to do with his life. Canadian music producer and turntablist Eric San – best known, via his nom de plume Kid Koala, as a member of Deltron 3030, collaborator with Gorillaz and contributor to the soundtracks of films such asScott Pilgrim Vs. the World(MIFF 2010) – makes his directorial debut with a feature-length adaptation of his own 2011 graphic novel. Reminiscent of beloved charmerRobot Dreams(MIFF 2023) and Pixar classicWALL•E, Space Cadetis a dialogue-free tale filled with emotion, evoking the passage of time and the changing of generations. Featuring vocal performances from Karen O, Emilíana Torrini and Martha Wainwright, San’s vibrant score enhances a universally relatable story about yearning across the cosmos.",English,23 Aug,ACMI 2,12:45pm,https://miff.com.au/program/film/space-cadet
Portrait d’une paresseuse,Chantal Akerman,1986,8 mins,"Drama, Comedy, Experimental",Chantal Akerman: Traces,"In theSeven Women, Seven Sinschapter alternatively titledLa Paresse(Sloth), Akerman directs and stars in an ironic meditation on idleness from the perspective of a filmmaker who’d seemingly rather stay in bed.","Commissioned alongside other avant-garde female directors including Bette Gordon (Variety, MIFF 1984), Ulrike Ottinger (Paris Calligrammes, MIFF 2020) and Valie Export (The Practice of Love, MIFF 1986)for the German television anthology filmSeven Women, Seven Sins, Chantal Akerman – a prolific artist – set her sights on sloth. Shooting in the Paris apartment she shared at the time with partner Sonia Wieder-Atherton, Akerman appears as a filmmaker wrestling with the problem of getting up in order to make a movie about laziness. She ponders time-saving hacks, health, personal grooming and a general sense of malaise as Wieder-Atherton energetically rehearses a cello piece in another room.",French,20 Aug,Kino 2,6:30pm,https://miff.com.au/program/film/portrait-dune-paresseuse
The Blue Trail,Gabriel Mascaro,2025,86 mins,"Drama, Sci-Fi",Headliners,"Taking home the Berlinale Silver Bear Grand Jury Prize, this brightly coloured odyssey is a spirited rebuke to ageism.","In a futuristic yet hyper-bureaucratised Brazil, retirement has questionable consequences. On the one hand, 77-year-old Tereza is hailed as a ‘national living heritage’; on the other, she has been placed under the guardianship of her daughter, and will soon be forced to live in a colony for seniors. But Tereza has one rather big dream left: to fly on a plane before she’s shipped off and forgotten. Embarking on a fantastical journey through the Amazon, she encounters a blue drool-discharging snail with an ability to chart a person’s destiny, a shady boat captain and a sly new friend with secrets – and lessons – of her own.",Portuguese,13 Aug,The Capitol,6:30pm,https://miff.com.au/program/film/the-blue-trail
The Blue Trail,Gabriel Mascaro,2025,86 mins,"Drama, Sci-Fi",Headliners,"Taking home the Berlinale Silver Bear Grand Jury Prize, this brightly coloured odyssey is a spirited rebuke to ageism.","In a futuristic yet hyper-bureaucratised Brazil, retirement has questionable consequences. On the one hand, 77-year-old Tereza is hailed as a ‘national living heritage’; on the other, she has been placed under the guardianship of her daughter, and will soon be forced to live in a colony for seniors. But Tereza has one rather big dream left: to fly on a plane before she’s shipped off and forgotten. Embarking on a fantastical journey through the Amazon, she encounters a blue drool-discharging snail with an ability to chart a person’s destiny, a shady boat captain and a sly new friend with secrets – and lessons – of her own.",Portuguese,15 Aug,Forum,3:45pm,https://miff.com.au/program/film/the-blue-trail
